id,en,es
title,Strong Ties,Lazos Fuertes
mm_play,Play,Jugar
mm_settings,Settings,Opciones
mm_credits,Credits,Créditos
mm_quit,Quit,Salir
music,Music volume,Volumen música
sounds,Sounds volume,Volumen sonidos
mm_fullscreen,Fullscreen,Pantalla completa
mm_back,Back,Atrás
menu,Menu,Menú
close,Close,Cerrar
save,Save,Guardar
load,Load,Cargar
save_mm,Save and exit,Guardar y salir
no_save_mm,Exit without saving,Salir sin guardar
